name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Wien Rad	Krakauer Straße 23, 1020 Wien	https://wienrad.at/			Yes (Hourly rate)	2016-04-03	72		https://web.archive.org/web/20160403041215/http://wienrad.at/service/	2025-07-23	72	https://wienrad.at/service/	48.2270058	16.3962261
Popsykkel	Reindorfgasse 9, 1150 Wien	https://popsykkel.at/			No prices online					2025-07-23		https://www.popsykkel.at/#werkstatt	48.1883827	16.3304534
Radlheim-Fünfhaus	Dingelstedtgasse 2, 1150 Wien	https://radlheim.org/			No prices online								48.1940817	16.338172
Stadtwerkstatt	Skodagasse 1, 1080 Wien	https://alpenrad.at/			No prices online	2015-08-10			https://web.archive.org/web/20150810081111/http://alpenrad.at/die-stadtwerkstatt/	2025-07-23		https://alpenrad.at/die-stadtwerkstatt/	48.2116491	16.3446783
United In Cycling - Fahrradgeschäft & Werkstatt	Eva-Maria-Mazzucco-Platz 1, 1220 Wien	https://unitedincycling.com/			Yes	2017-06-16	120		https://web.archive.org/web/20170616215551/http://www.unitedincycling.com/Werkstatt	2025-07-23	192	https://unitedincycling.com/Werkstatt	48.225143	16.5046693
Glanzrad	Leopoldsgasse 21, 1020 Wien	https://www.glanzrad.com/			Yes	2021-09-21	79		https://web.archive.org/web/20210921043549/https://www.glanzrad.at/fahrradservice-fahrradreparatur/	2021-10-27	79	https://web.archive.org/web/20211027060135/https://www.glanzrad.at/fahrradservice-fahrradreparatur/	48.2196349	16.3768688
Cycloholics	Hütteldorfer Straße 36, 1150 Wien	https://www.cycloholics.at/			Yes	2018-09-28	135		https://web.archive.org/web/20180928024644/http://www.cycloholics.at/service/grosses-service-2/	2025-07-23	199	https://www.cycloholics.at/Gro%C3%9Fes_Service	48.1991471	16.3261159
Fahrradkeller	Roßauer Lände 33, 1090 Wien	https://fahrradkeller.at			Yes	2017-07-08	59		https://web.archive.org/web/20170708055145/http://fahrradkeller.at/service-reparatur/	2025-07-23	79	https://fahrradkeller.at/services/fahrrad-reparatur-service-wien/	48.2241605	16.3668736
Pbike	Boltzmanngasse 21, 1090 Wien	https://www.pbike.at			Additional Location								48.2247484	16.3566773
huberista	Erdbergstraße 22, 1030 Wien	https://www.huberista.com/			No prices online								48.202298	16.394572
